Team,Revenue,Playoff Appearances 2001-2015,PA 16,PA 17,PA 18,PA 19,Playoff Appearances Total,Playoff Wins 2001-2016,PW 16,PW 17,PW 18,PW 19,Playoff Wins Total,Stanley Cups 2001-2015,SC 16,SC 17,SC 18,SC 19,Stanley Cup Total
Anaheim Ducks,134,21,1,3,1,0,26,13,0,2,0,0,15,1,0,0,0,0,1
Arizona Coyotes,96,6,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0
Boston Bruins,191,19,0,1,2,4,26,10,0,0,1,3,14,1,0,0,0,0,1
Buffalo Sabres,128,10,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0
Calgary Flames,132,10,0,1,0,1,12,4,0,0,0,0,4,0,0,0,0,0,0
Carolina Hurricanes,109,12,0,0,0,3,15,9,0,0,0,2,11,1,0,0,0,0,1
Chicago Blackhawks,201,22,1,1,0,0,24,16,0,0,0,0,16,3,0,0,0,0,3
Colorado Avalanche,119,16,0,0,1,2,19,9,0,0,0,1,10,1,0,0,0,0,1
Columbus Blue Jackets,111,2,0,1,1,2,6,0,0,0,0,1,1,0,0,0,0,0,0
Dallas Stars,144,11,2,0,0,2,15,4,1,0,0,1,6,0,0,0,0,0,0
Detroit Red Wings,171,29,1,0,0,0,30,17,0,0,0,0,17,2,0,0,0,0,2
Edmonton Oilers,145,6,0,2,0,0,8,3,0,1,0,0,4,0,0,0,0,0,0
Florida Panthers,99,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
L.A. Kings,193,16,1,0,1,0,18,11,0,0,0,0,11,2,0,0,0,0,2
Minnesota Wild,142,10,1,1,1,0,13,4,0,0,0,0,4,0,0,0,0,0,0
Montreal Canadians,239,18,0,1,0,0,19,8,0,0,0,0,8,0,0,0,0,0,0
Nashville Predators,132,10,2,4,2,1,19,2,1,3,1,0,7,0,0,0,0,0,0
New Jersey Devils,166,21,0,0,1,0,22,12,0,0,0,0,12,1,0,0,0,0,1
New York Islanders,107,6,2,0,0,2,10,0,1,0,0,1,2,0,0,0,0,0,0
New York Rangers,253,19,1,2,0,0,22,10,0,1,0,0,11,0,0,0,0,0,0
Ottawa Senators,124,18,0,3,0,0,21,8,0,2,0,0,10,0,0,0,0,0,0
Philadelphia Flyers,186,21,1,0,1,0,23,10,0,0,0,0,10,0,0,0,0,0,0
Pittsburgh Penguins,185,22,4,4,2,1,33,13,4,4,1,0,22,1,1,1,0,0,3
San Jose Sharks,148,13,4,1,2,3,23,4,3,0,1,2,10,0,0,0,0,0,0
St. Louis Blues,148,23,3,2,0,4,32,11,2,1,0,4,18,0,0,0,0,1,1
Tampa Bay Lightning,146,16,3,0,3,1,23,10,2,0,2,0,14,1,0,0,0,0,1
Toronto Maple Leafs,232,9,0,1,1,1,12,4,0,0,0,0,4,0,0,0,0,0,0
Vancouver Canucks,168,18,0,0,0,0,18,7,0,0,0,0,7,0,0,0,0,0,0
Washington Capitals,194,13,2,2,4,1,22,4,1,1,4,0,10,0,0,0,1,0,1
Winnipeg Jets,135,1,0,0,3,1,5,0,0,0,2,0,2,0,0,0,0,0,0
Las Vegas Knights,180,0,0,0,4,1,5,0,0,0,3,0,3,0,0,0,0,0,0
